run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
99,42,flatten,be,1,32,random_indep,0.8636999726295471,5333.94
100,42,flatten,be,3,32,random_indep,0.8916000127792358,5723.82
101,42,flatten,be,5,32,random_indep,0.8956000208854675,6125.71
102,42,flatten,be,7,32,random_indep,0.900600016117096,6333.07
103,42,flatten,be,9,32,random_indep,0.8992999792098999,6669.6
104,42,flatten,be,15,32,random_indep,0.8999999761581421,7678.48
105,42,flatten,be,21,32,random_indep,0.896399974822998,8726.94
106,42,flatten,se,1,2,zero,0.3278999924659729,465.36
107,42,flatten,se,3,2,zero,0.4830000102519989,504.51
108,42,flatten,se,5,2,zero,0.4943999946117401,533.11
109,42,flatten,se,7,2,zero,0.4797999858856201,595.1
110,42,flatten,se,1,2,random_fixed,0.4348999857902527,445.2
111,42,flatten,se,3,2,random_fixed,0.5055999755859375,500.79
112,42,flatten,se,5,2,random_fixed,0.4812999963760376,559.78
113,42,flatten,se,7,2,random_fixed,0.49149999022483826,600.0
114,42,flatten,se,1,2,random_indep,0.37610000371932983,461.56
115,42,flatten,se,3,2,random_indep,0.4320000112056732,503.0
116,42,flatten,se,5,2,random_indep,0.4932999908924103,551.98
117,42,flatten,se,7,2,random_indep,0.49309998750686646,603.3
118,42,flatten,se,1,4,zero,0.5877000093460083,863.21
119,42,flatten,se,3,4,zero,0.7512000203132629,987.8
120,42,flatten,se,5,4,zero,0.7294999957084656,1077.37
121,42,flatten,se,7,4,zero,0.7513999938964844,1174.41
122,42,flatten,se,1,4,random_fixed,0.5932999849319458,915.56
123,42,flatten,se,3,4,random_fixed,0.7038000226020813,997.47
124,42,flatten,se,5,4,random_fixed,0.7469000220298767,1052.76
125,42,flatten,se,7,4,random_fixed,0.7440000176429749,1184.68
126,42,flatten,se,1,4,random_indep,0.6140000224113464,844.49
127,42,flatten,se,3,4,random_indep,0.7512999773025513,992.25
128,42,flatten,se,5,4,random_indep,0.7353000044822693,1052.08
129,42,flatten,se,7,4,random_indep,0.7566999793052673,1190.47
130,42,flatten,se,1,8,zero,0.7060999870300293,1742.73
131,42,flatten,se,3,8,zero,0.8418999910354614,1918.69
132,42,flatten,se,5,8,zero,0.8485000133514404,2120.71
133,42,flatten,se,7,8,zero,0.8608999848365784,2276.3
134,42,flatten,se,1,8,random_fixed,0.7698000073432922,1495.43
135,42,flatten,se,3,8,random_fixed,0.8355000019073486,1644.6
136,42,flatten,se,5,8,random_fixed,0.8557000160217285,2017.75
137,42,flatten,se,7,8,random_fixed,0.8636000156402588,2358.56
138,42,flatten,se,1,8,random_indep,0.7644000053405762,1722.49
139,42,flatten,se,3,8,random_indep,0.8414999842643738,1827.61
140,42,flatten,se,5,8,random_indep,0.8589000105857849,2137.87
141,42,flatten,se,7,8,random_indep,0.8636000156402588,2369.27
142,42,flatten,se,1,16,zero,0.8176000118255615,3468.59
143,42,flatten,se,3,16,zero,0.888700008392334,3819.84
144,42,flatten,se,5,16,zero,0.9010999798774719,4317.69
145,42,flatten,se,7,16,zero,0.8989999890327454,4669.52
146,42,flatten,se,1,16,random_fixed,0.8557000160217285,3433.25
147,42,flatten,se,3,16,random_fixed,0.8946999907493591,3739.23
148,42,flatten,se,5,16,random_fixed,0.8937000036239624,4241.9
149,42,flatten,se,7,16,random_fixed,0.897599995136261,4660.68
150,42,flatten,se,1,16,random_indep,0.8485999703407288,3490.45
151,42,flatten,se,3,16,random_indep,0.8903999924659729,3907.55
152,42,flatten,se,5,16,random_indep,0.8986999988555908,4293.14
153,42,flatten,se,7,16,random_indep,0.8988999724388123,4705.52
154,42,flatten,se,1,32,zero,0.8691999912261963,6934.92
155,42,flatten,se,3,32,zero,0.9111999869346619,7604.13
156,42,flatten,se,5,32,zero,0.9140999913215637,8346.91
157,42,flatten,se,7,32,zero,0.9138000011444092,8824.21
158,42,flatten,se,1,32,random_fixed,0.8909000158309937,7069.13
159,42,flatten,se,3,32,random_fixed,0.9125000238418579,7417.41
160,42,flatten,se,5,32,random_fixed,0.9129999876022339,8484.42
