run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
87,42,flatten,be,5,32,zero,0.7964000105857849,5843.95
88,42,flatten,be,7,32,zero,0.7971000075340271,6273.1
89,42,flatten,be,9,32,zero,0.8004000186920166,6634.38
90,42,flatten,be,15,32,zero,0.7991999983787537,7640.61
91,42,flatten,be,21,32,zero,0.7989000082015991,8351.05
92,42,flatten,be,1,32,random_fixed,0.7217000126838684,5397.53
93,42,flatten,be,3,32,random_fixed,0.7724000215530396,5743.46
94,42,flatten,be,5,32,random_fixed,0.78329998254776,5790.24
95,42,flatten,be,7,32,random_fixed,0.7875000238418579,6316.16
96,42,flatten,be,9,32,random_fixed,0.7854999899864197,6672.4
97,42,flatten,be,15,32,random_fixed,0.7835000157356262,7710.84
98,42,flatten,be,21,32,random_fixed,0.7949000000953674,8527.88
99,42,flatten,be,1,32,random_indep,0.7523000240325928,5367.17
100,42,flatten,be,3,32,random_indep,0.7853999733924866,5557.89
101,42,flatten,be,5,32,random_indep,0.7904999852180481,5990.8
102,42,flatten,be,7,32,random_indep,0.7949000000953674,6449.2
103,42,flatten,be,9,32,random_indep,0.7907000184059143,6624.12
104,42,flatten,be,15,32,random_indep,0.7967000007629395,7347.25
105,42,flatten,be,21,32,random_indep,0.7975999712944031,8784.74
106,42,flatten,se,1,2,zero,0.4302999973297119,461.86
107,42,flatten,se,3,2,zero,0.5476999878883362,511.64
108,42,flatten,se,5,2,zero,0.5536999702453613,508.34
109,42,flatten,se,7,2,zero,0.5620999932289124,610.97
110,42,flatten,se,1,2,random_fixed,0.49619999527931213,390.82
111,42,flatten,se,3,2,random_fixed,0.5332000255584717,478.65
112,42,flatten,se,5,2,random_fixed,0.5788999795913696,555.1
113,42,flatten,se,7,2,random_fixed,0.5975000262260437,568.76
114,42,flatten,se,1,2,random_indep,0.4693000018596649,459.09
115,42,flatten,se,3,2,random_indep,0.5670999884605408,506.95
116,42,flatten,se,5,2,random_indep,0.5787000060081482,562.01
117,42,flatten,se,7,2,random_indep,0.5615000128746033,613.72
